tweet_id,date_time,user,user_name,user_id,user_followers_count,user_friends_count,retweet_count,favorite_count,reply_to_tweet_id,reply_to_user_id,source,coordinates,place,location,language,hashtags,mentions,media_url,media_path,text,sentiment
1632509256334290944,Sun Mar 05 22:31:51 +0000 2023,DamianThompson,Damian Thompson (DT) - I Scale Revenue w AI+Humans,101386641,3416,1202,0,0,,,Twitter for iPad,,,Remote - Global,en,[],[],,,Buggy whip manufacturers hated on the Model T also. https://t.co/UkUyOVFZCw,negative
1632498911473549313,Sun Mar 05 21:50:45 +0000 2023,ulgenwanders,Ülgen,1424715665160740868,831,1018,0,1,,,Twitter for Android,,,,en,[],[],,,"""AI gold rush"" 🫠😵 https://t.co/lRGUYoieDE",neutral
1632413951026778115,Sun Mar 05 16:13:09 +0000 2023,nloadholtes,Nick Loadholtes,197884428,308,294,0,0,,,Jax Beach Social Cross-Poster,,,"Atlanta, GA",en,[],[],,,"Adding to the todos 
 https://t.co/6hewXRWwEW",neutral
1632377498624458753,Sun Mar 05 13:48:18 +0000 2023,emiledumont88,Emile Dumont,1361297420181598212,95,618,0,0,,,Twitter for iPhone,,,Singapore,en,[],[],,,Definitely on it! https://t.co/ab79xUfH1O,neutral
1632341946902429702,Sun Mar 05 11:27:02 +0000 2023,VineetDevaiah,Vineet 🧑🏽‍💻Climate change is real 🥶🥵🔥🌪⛈❄️,135622854,2223,1693,0,0,,,Twitter for iPhone,,,Luxembourg,en,[],[],,,This dude is all about money 💰 kinda sad he has now become the poster boy for the indie world 🤕. https://t.co/TtgEFrMuhL,negative
1632206804448079873,Sun Mar 05 02:30:01 +0000 2023,dannypostmaa,Danny Postma,197785542,57455,547,13,183,,,Typefully,,,Get a new profile picture → ,en,[],[],,,"Tech gold rushes that made many wealthy, quickly:

• 2005: SEO/affiliate
• 2008: Mobile apps
• 2012: Social network advertising
• 2017: Blockchain
• 2021: AI/GPT3

https://t.co/s4Kkz5UcOs",positive
