tweet_id,date_time,user,user_name,user_id,user_followers_count,user_friends_count,retweet_count,favorite_count,reply_to_tweet_id,reply_to_user_id,source,coordinates,place,location,language,hashtags,mentions,media_url,media_path,text,sentiment
1632849461386031109,Mon Mar 06 21:03:43 +0000 2023,iZEDION,ION⚡️ZED,917920855,440,264,0,0,1632199266453311489,197785542,Twitter for Android,,,Vancouver / Shanghai,en,[],['dannypostmaa'],,,"@dannypostmaa I'm not here to make money, unlike you. I'm here to understand and help others do so. Money is worthless in the end",negative
1632831757257932801,Mon Mar 06 19:53:22 +0000 2023,kashifshaikh,Kashif Shaikh,15861876,84,563,0,0,1632202572646977536,197785542,Twitter for iPhone,,,"Toronto, Canada",en,[],"['dannypostmaa', 'AaronAIHero']",,,@dannypostmaa @AaronAIHero how does one start building AI products ? any good courses on it for folks without ML knowledge?,positive
1632736559240826882,Mon Mar 06 13:35:05 +0000 2023,SaadJunejo98,Saad Jameel,2380034869,74,260,0,0,1632484884110364673,4850563126,Twitter for iPhone,,,,und,[],"['supersaiyanAkh', 'UltraLinx', 'dannypostmaa']",,,@supersaiyanAkh @UltraLinx @dannypostmaa 😂,neutral
1632686857912737798,Mon Mar 06 10:17:35 +0000 2023,rodrigoakarolo,Rodrigo Ortiz,1316141312429764608,533,507,0,1,1632199266453311489,197785542,Twitter Web App,,,#buildinpublic,en,[],"['dannypostmaa', 'aliazimi86']",,,@dannypostmaa @aliazimi86 If they are hating it's because they feel they can't get in on it!,neutral
1632676557478309889,Mon Mar 06 09:36:39 +0000 2023,oledoteth,ole.eth,1587816802264006657,2377,598,0,0,1632449467386347526,187605020,Twitter Web App,,,,en,[],"['_alexc_c', 'levelsio', 'arvidkahl', 'dannypostmaa']",,,@_alexc_c @levelsio @arvidkahl @dannypostmaa are you for real bro?,positive
1632656666293354497,Mon Mar 06 08:17:37 +0000 2023,asaio87,andrei,47435477,140,418,0,0,1632199266453311489,197785542,Twitter for iPhone,,,Bucharest,en,[],['dannypostmaa'],,,@dannypostmaa Def true but what you do with all the fake products that all have AI in them ? The rush is so big that a lot of the clarity becomes blurred shapes.,negative
1632595580005371905,Mon Mar 06 04:14:53 +0000 2023,johnthomascook,john cook,268361950,38,306,0,0,1632199266453311489,197785542,Twitter for Android,,,"Seattle, WA",en,[],['dannypostmaa'],,,@dannypostmaa It threatens a lot of their investments,neutral
1632589404534341632,Mon Mar 06 03:50:20 +0000 2023,n1style,N1,98484113,64,1845,0,0,1632441291060703233,24179991,Twitter for Android,,,blockchain,en,[],"['dvassallo', 'levelsio', 'arvidkahl', 'dannypostmaa']",,,"@dvassallo @levelsio @arvidkahl @dannypostmaa Disagree. In the US you have simpler and lower tax law to begin with, in other countries, especially in the EU, you are better going self-employed due to the tax reasons. This diagram rather meaningless.",negative
1632587306098999297,Mon Mar 06 03:42:00 +0000 2023,sageecute,Sagar Gulabani,112598309,38,655,0,0,1632199266453311489,197785542,Twitter for iPhone,,,"Naranpura, Ahmedabad City",en,[],['dannypostmaa'],,,@dannypostmaa Yes true.,positive
1632524097375576065,Sun Mar 05 23:30:50 +0000 2023,evindor,Arseniy Zarechnev,292938418,3066,328,0,0,1632199266453311489,197785542,Twitter Web App,,,Europe,en,[],['dannypostmaa'],https://video.twimg.com/ext_tw_video/1632523905771479042/pu/vid/382x270/A-hWNSKhWgSafo-r.mp4?tag=12,Replies/1632199266453311489_conversation/Attachments/ConversationMedia/1632524097375576065.mp4,@dannypostmaa I'm loving it! Been coding like crazy last few days to build a mac-native chatgpt UI in Swift. Super fun using the app I'm building to build it! https://t.co/7F5h2v7g3X,positive
1632518995231350788,Sun Mar 05 23:10:33 +0000 2023,aleks_maker,Aleks Maker,106619181,136,276,0,0,1632199266453311489,197785542,Twitter Web App,,,Europe,en,[],['dannypostmaa'],,,"@dannypostmaa Come on, let's leave them… behind 😁 
Continuing to work on AI startup.",negative
1632515192889155589,Sun Mar 05 22:55:27 +0000 2023,m_dolr,Maxime Dolores,1062858757,53,872,0,1,1632514112029597697,3358091321,Twitter for iPhone,,,France,en,[],"['maximehugodupre', 'dannypostmaa']",,,@maximehugodupre @dannypostmaa Ture! true! And at least it’s funny to see people try all kinds of things,positive
1632514112029597697,Sun Mar 05 22:51:09 +0000 2023,maximehugodupre,Maxime Dupré 🔨🥹,3358091321,5948,337,0,0,1632513040112336896,1062858757,Twitter Web App,,,🟩🟩🟩🟨⬜️⬜️⬜️⬜️⬜️⬜️ 3K MRR 🍜,en,[],"['m_dolr', 'dannypostmaa']",,,"@m_dolr @dannypostmaa But why do you care? 😁

The cream will rise to the top 😎",positive
1632513673112567810,Sun Mar 05 22:49:24 +0000 2023,macostaeth,macosta,43826366,221,130,0,0,1632199266453311489,197785542,Twitter for iPhone,,,,en,[],['dannypostmaa'],,,@dannypostmaa I love the tech and 95% of new the things that appear everyday. I hate with tue fury of 1000 suns the very vocal 5% that are overnight AI experts and rib unsuspecting people with their trainings and prompts and shit,negative
1632513040112336896,Sun Mar 05 22:46:54 +0000 2023,m_dolr,Maxime Dolores,1062858757,53,872,0,1,1632509784573313024,3358091321,Twitter for iPhone,,,France,en,[],"['maximehugodupre', 'dannypostmaa']",,,"@maximehugodupre @dannypostmaa I’d say the same if it wasn’t the same interface copy pasted with different prompts for most of them 😬

Sometimes it feels line there is no real effort made at all",positive
1632509784573313024,Sun Mar 05 22:33:57 +0000 2023,maximehugodupre,Maxime Dupré 🔨🥹,3358091321,5948,337,0,0,1632480908744720385,1062858757,TweetDeck Web App,,,🟩🟩🟩🟨⬜️⬜️⬜️⬜️⬜️⬜️ 3K MRR 🍜,en,[],"['m_dolr', 'dannypostmaa']",,,"@m_dolr @dannypostmaa That's interesting 🤔

Personally I couldn't care less about how many new AI products are being launched on PH 😆",positive
1632505080065794049,Sun Mar 05 22:15:16 +0000 2023,Trendfo36245031,Trendfollower,1497642120554942473,0,241,0,0,1632441291060703233,24179991,Twitter for iPhone,,,,en,[],"['dvassallo', 'levelsio', 'arvidkahl', 'dannypostmaa']",,,"@dvassallo @levelsio @arvidkahl @dannypostmaa I think you are confusing the underlying cause.  US much stronger economy, more jobs. Europe higher unemployment, less job creation",positive
1632502176726810625,Sun Mar 05 22:03:44 +0000 2023,40wheels,Leo,1476499708289843201,22,194,0,0,1632441291060703233,24179991,Twitter for iPhone,,,"Salinas, CA",en,[],"['dvassallo', 'levelsio', 'arvidkahl', 'dannypostmaa']",,,@dvassallo @levelsio @arvidkahl @dannypostmaa Colombia 🇨🇴 #1?! I guess selling arepas door to door counts? self employment there is another way of saying unemployed,neutral
1632501430199386115,Sun Mar 05 22:00:46 +0000 2023,OrionSeven,Bryan Smith,95777570,483,396,0,1,1632447477566803968,15554773,Twitter Web App,,,Newsletter →,en,[],"['earthlingworks', 'arvidkahl', 'dannypostmaa']",,,"@earthlingworks @arvidkahl @dannypostmaa I think you're right Ruben, I think people are having PTSD about NFT-bros. 

Some of the talk about AI feels a bit like ""crypto is going to change the world""!

So people ignore it.

The thing is, I think they're wrong to ignore it. (this time)",negative
1632489161063006211,Sun Mar 05 21:12:00 +0000 2023,alxlion_,Alex Lion,87460505,578,203,0,0,1632388313725419522,1577241403,Twitter for iPhone,,,France,en,[],"['levelsio', 'arvidkahl', 'dannypostmaa']",,,"@levelsio @arvidkahl @dannypostmaa Real. 
France will realize that AI exists in 10 years and start building something out of that 😂",positive
