commentId,level,mentionMapping,parent,permalink,text,threadId,timestamp,type,isVoteMasked,mediaText,user,likeCount,dislikeCount,isPinned,childrenTotal,childrenUrl,opStatus,isCollapsed,isDeleted,isSensitive,isOffensive,media,attachments,Neutrality_Score,Positivity_Score,Negativity_Score,sentiment
c_162815218812093218,2,{'@seigheilsky': '59163735'},c_162815145002082112,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162815218812093218,"@seigheilsky I know, the jokes just basically write themselves, he truly is one hell of an entertainer",Y2lkPWNfMTYyODE1MTQ1MDAyMDgyMTEyJmFpZD01OTE2MzczNQ,2021-08-05 08:49:01,text,0,"@seigheilsky I know, the jokes just basically write themselves, he truly is one hell of an entertainer","{'userId': 'u_13793290133659', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/1989958_100_1.jpg', 'displayName': 'apollo_toaster', 'emojiStatus': '🇪🇺', 'country': 'nl', 'profileUrl': 'https://9gag.com/u/apollo_toaster', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/apollo_toaster'}, 'timestamp': '1379329013', 'permissions': {'9GAG_Pro': 1, '9GAG_Pro_Plus': 1}, 'isActivePro': True, 'isActiveProPlus': True, 'isVerifiedAccount': False, 'accountId': '1989958', 'activeTs': 1675203926, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",2,0,0,0,,0,0,0,0,0,,,0.498,0.311,0.191,Neutral
c_162816289614522591,2,{'@seigheilsky': '59163735'},c_162815145002082112,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162816289614522591,"@seigheilsky question here is, will you be getting a trump card?",Y2lkPWNfMTYyODE1MTQ1MDAyMDgyMTEyJmFpZD01OTE2MzczNQ,2021-08-05 08:17:30,text,0,"@seigheilsky question here is, will you be getting a trump card?","{'userId': 'u_159421379957275871', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/57081281_100_2.jpg', 'displayName': 'fjdjdbdkdbfg2', 'emojiStatus': '', 'country': 'pt', 'profileUrl': 'https://9gag.com/u/fjdjdbdkdbfg2', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/fjdjdbdkdbfg2'}, 'timestamp': '1594213799', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '57081281', 'activeTs': 1650310294, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",1,0,0,0,,0,0,0,0,0,,,1.0,0.0,0.0,Neutral
c_162816833794347299,2,{'@seigheilsky': '59163735'},c_162815145002082112,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162816833794347299,"@seigheilsky what is the comparison you're making there I wonder?! Lol

But for the sake of argument I'll say one is free and the other most certainly will not be free.. The gift must go on though lmao",Y2lkPWNfMTYyODE1MTQ1MDAyMDgyMTEyJmFpZD01OTE2MzczNQ,2021-08-05 09:21:37,text,0,"@seigheilsky what is the comparison you're making there I wonder?! Lol

But for the sake of argument I'll say one is free and the other most certainly will not be free.. The gift must go on though lmao","{'userId': 'u_159421379957275871', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/57081281_100_2.jpg', 'displayName': 'fjdjdbdkdbfg2', 'emojiStatus': '', 'country': 'pt', 'profileUrl': 'https://9gag.com/u/fjdjdbdkdbfg2', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/fjdjdbdkdbfg2'}, 'timestamp': '1594213799', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '57081281', 'activeTs': 1650310294, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",0,0,0,0,,0,0,0,0,0,,,0.578,0.361,0.061,Neutral
c_162834347444701070,2,{'@l3l4napa': '50428491'},c_162815529719604108,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162834347444701070,@l3l4napa - *Kamala,Y2lkPWNfMTYyODE1NTI5NzE5NjA0MTA4JmFpZD01MDQyODQ5MQ,2021-08-05 08:10:18,text,0,@l3l4napa - *Kamala,"{'userId': 'u_145131010834641634', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/32086327_100_1.jpg', 'displayName': 'richardcrx', 'emojiStatus': '', 'country': 'us', 'profileUrl': 'https://9gag.com/u/richardcrx', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/richardcrx'}, 'timestamp': '1451310108', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '32086327', 'activeTs': 1678300717, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",0,0,0,0,,0,0,0,0,0,,,1.0,0.0,0.0,Neutral
c_162815069601778924,2,{'@thatbaldybloke': '43521114'},c_162815056618769111,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162815069601778924,@thatbaldybloke always has been,Y2lkPWNfMTYyODE1MDU2NjE4NzY5MTExJmFpZD00MzUyMTExNA,2021-08-05 08:02:46,text,0,@thatbaldybloke always has been,"{'userId': 'u_161751364899981873', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/60106464_100_1.jpg', 'displayName': '395xp', 'emojiStatus': '', 'country': 'us', 'profileUrl': 'https://9gag.com/u/395xp', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/395xp'}, 'timestamp': '1617513648', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '60106464', 'activeTs': 1646178214, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",10,2,0,0,,0,0,0,0,0,,,1.0,0.0,0.0,Neutral
c_162815369474978327,2,{'@thatbaldybloke': '43521114'},c_162815056618769111,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162815369474978327,@thatbaldybloke *business,Y2lkPWNfMTYyODE1MDU2NjE4NzY5MTExJmFpZD00MzUyMTExNA,2021-08-05 08:17:32,text,0,@thatbaldybloke *business,"{'userId': 'u_143068785056031143', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/26444197_100_2.jpg', 'displayName': 'chrisaioliad', 'emojiStatus': '', 'country': 'us', 'profileUrl': 'https://9gag.com/u/chrisaioliad', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/chrisaioliad'}, 'timestamp': '1430687850', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '26444197', 'activeTs': 1678349135, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",1,0,0,0,,0,0,0,0,0,,,1.0,0.0,0.0,Neutral
c_162816505883816607,2,{'@thatbaldybloke': '43521114'},c_162815056618769111,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162816505883816607,@thatbaldybloke basically?,Y2lkPWNfMTYyODE1MDU2NjE4NzY5MTExJmFpZD00MzUyMTExNA,2021-08-05 16:49:32,text,0,@thatbaldybloke basically?,"{'userId': 'u_13797024173430', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/default-avatar/1_0_100_v0.jpg', 'displayName': 'ryesig2', 'emojiStatus': '', 'country': 'us', 'profileUrl': 'https://9gag.com/u/ryesig2', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/ryesig2'}, 'timestamp': '1379702417', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '10706344', 'activeTs': 1670809887, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",1,0,0,0,,0,0,0,0,0,,,1.0,0.0,0.0,Neutral
c_162818414115243458,2,{'@thatbaldybloke': '43521114'},c_162815056618769111,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162818414115243458,"@thatbaldybloke atleast it doesn’t depend on censorship, intimidation, and the stifling of higher education like the left.",Y2lkPWNfMTYyODE1MDU2NjE4NzY5MTExJmFpZD00MzUyMTExNA,2021-08-05 08:03:47,text,0,"@thatbaldybloke atleast it doesn’t depend on censorship, intimidation, and the stifling of higher education like the left.","{'userId': 'u_13935733901733', 'avatarUrl': 'https://accounts-cdn.9gag.com/avatar/default_53_100_v0.jpg', 'displayName': 'toasty95', 'emojiStatus': '', 'country': 'us', 'profileUrl': 'https://9gag.com/u/toasty95', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/toasty95'}, 'timestamp': '1393573390', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '16460631', 'activeTs': 1653784239, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",3,1,0,0,,0,0,0,0,0,,,0.739,0.123,0.138,Neutral
c_162818650108793629,2,{'@toasty95': '16460631'},c_162815056618769111,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162818650108793629,@toasty95 K.,Y2lkPWNfMTYyODE1MDU2NjE4NzY5MTExJmFpZD00MzUyMTExNA,2021-08-05 08:03:19,text,0,@toasty95 K.,"{'userId': 'u_148794677252076300', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/43521114_100_1.jpg', 'displayName': 'thatbaldybloke', 'emojiStatus': '', 'country': 'lt', 'profileUrl': 'https://9gag.com/u/thatbaldybloke', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/thatbaldybloke'}, 'timestamp': '1487946772', 'permissions': {'9GAG_Pro': 1, '9GAG_Pro_Plus': 1}, 'isActivePro': True, 'isActiveProPlus': True, 'isVerifiedAccount': False, 'accountId': '43521114', 'activeTs': 1675557662, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",2,0,0,0,,0,0,0,0,0,,,1.0,0.0,0.0,Neutral
c_162818868581688870,2,{'@toasty95': '16460631'},c_162815056618769111,http://9gag.com/gag/a5EAv9O#cs_comment_id=c_162818868581688870,@toasty95 you are an idiot,Y2lkPWNfMTYyODE1MDU2NjE4NzY5MTExJmFpZD00MzUyMTExNA,2021-08-07 03:55:21,text,0,@toasty95 you are an idiot,"{'userId': 'u_161751364899981873', 'avatarUrl': 'https://accounts-cdn.9gag.com/media/avatar/60106464_100_1.jpg', 'displayName': '395xp', 'emojiStatus': '', 'country': 'us', 'profileUrl': 'https://9gag.com/u/395xp', 'profileUrls': {'a_dd8f2b7d304a10edaf6f29517ea0ca4100a43d1b': 'https://9gag.com/u/395xp'}, 'timestamp': '1617513648', 'permissions': {}, 'isActivePro': False, 'isActiveProPlus': False, 'isVerifiedAccount': False, 'accountId': '60106464', 'activeTs': 1646178214, 'preferences': {'hideProBadge': 0, 'hideActiveTs': 0, 'accentColor': '', 'backgroundColor': ''}}",4,2,0,0,,0,0,0,0,0,,,0.548,0.0,0.452,Neutral
